rank,budget,tagline,box_office
1,25000000,Fear can hold you prisoner. Hope can set you free.,28884504
2,6000000,An offer you can't refuse.,250341816
3,185000000,Why So Serious?,1006234167
4,13000000,All the power on earth can't change destiny.,47961919
5,350000,Life Is In Their Hands -- Death Is On Their Minds!,955
6,22000000,"Whoever saves one life, saves the world entire.",322161245
7,94000000,The eye of the enemy is moving.,1146457748
8,8000000,Girls like me don't make invitations like this to just anyone!,213928762
9,93000000,The Legend Comes to Life,898204420
10,1200000,They formed an alliance of hate to steal a fortune in dead man's gold,25253887
11,55000000,The story of a lifetime.,678226465
12,63000000,How much can you know about yourself if you've never been in a fight?,101209702
13,94000000,A New Power Is Rising.,947944270
14,160000000,Your mind is the scene of the crime,836848102
15,18000000,The Adventure Continues...,538375067
16,63000000,Free your mind,467222728
17,25000000,"""As far back as I can remember, I've always wanted to be a gangster."" -- Henry Hill, Brooklyn, N.Y. 1955.",47036784
18,3000000,"If he's crazy, what does that make you?",109114817
19,33000000,"Long is the way, and hard, that out of hell leads up to light.",327333559
20,125000000,Will Take Its Place With the Seven Greatest Films of All Time!,346258
21,3180000,"Frank Capra's...""It's a Wonderful Life"".",8574081
22,19000000,"Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer.",272742922
23,$3300000,"If you run, the beast will get you. If you stay, the beast will eat you",30680793
24,70000000,"In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One.",482349603
25,165000000,Mankind was born on Earth. It was never meant to die here.,773867216
26,20000000,"An unforgettable fable that proves love, family and imagination conquer all. (Canadian one sheet)",230098753
27,60000000,Miracles do happen.,286801374
28,11000000,It's Back! The Force will be with you for three weeks only. (1979 Reissue Poster),775398007
29,102000000,It's nothing personal.,520881154
30,19000000,He's the only kid ever to get into trouble before he was born. [UK],383336762
31,19000000,The tunnel led Chihiro to a mysterious town.,355822319
32,35000000,Music was his passion. Survival was his masterpiece.,120072577
33,806947,The picture you MUST see from the beginning... Or not at all!... For no one will be seated after the start of... Alfred Hitchcock's greatest shocker Psycho.,32052925
34,11400000,Misplaced familyhood (Australia/New Zealand/Singapore),262676096
35,RF 115000000,"If you want the job done right, hire a professional.",19569225
36,45000000,See it for the first time ever in 3D (2011 3D re-release),968511805
37,103000000,"Father of a murdered son, husband to a murdered wife and I shall have my vengeance in this life or the next",503162313
38,20000000,His father taught him to hate. His friends taught him rage. His enemies gave him hope.,23875127
39,90000000,Lies. Betrayal. Sacrifice. How far will you take it?,291480452
40,6000000,The greatest trick the devil ever pulled was to convince the world he didn't exist,23341568
41,40000000,A Friendship That Became a Rivalry.,109676311
42,3300000,The road to greatness can take you to the edge,49396747
43,950000,Where Love Cuts as Deep as a Dagger!,4626532
44,3700000,imationDramaWar,516962
45,Not Available,The World Has Never Understood Why the Japanese Prefer Death to Dishonor! This Samurai Picture Provides The Answer!!,Not Available
46,9500000,Sometimes you have to reach into someone else's world to find out what's missing in your own.,426588510
47,1500000,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",463618
48,5000000,There were three men in her life. One knew her past. One wanted her land. One wanted revenge.,5435024
49,1000000,The Essential Hitchcock,37034579
50,5000000,"A celebration of youth, friendship, and the everlasting magic of the movies.",13019063
51,11000000,In space no one can hear you scream.,106285522
52,1500000,"HE RETURNS -And the world rocks again with laughter. (Print Ad-Daily Examiner, ((Grafton, NSW)) 6 July 1931)",50419
53,31500000,The Horror. . . The Horror. . .,104880868
54,9000000,Some memories are best forgotten,40047078
55,100000000,"Life, liberty and the pursuit of vengeance.",426074373
56,18000000,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,389925971
57,180000000,After 700 years of doing what he was built for - he'll discover what he's meant for.,521311890
58,2000000,"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets",77356942
59,1752000,A Hollywood Story,300073
60,935000,Never has the screen thrust so deeply into the guts of war!,5252
61,19000000,Iconic terror from the No 1 bestselling writer.,47335804
62,2000000,The Comedy Masterpiece!,970263
63,321000000,An entire universe. Once and for all.,2052415039
64,3000000,The most electrifying entertainment of our time!,7693
65,18500000,This time there's more.,131060248
66,Not Available,Enter a universe where more than one wears the mask.,Not Available
67,15000000,... look closer,356296601
68,1800000,The comedy classic from celebrated director STANLEY KUBRICK,9523464
69,250000000,The Legend Ends,1081169825
70,3000000,"15 years of imprisonment, five days of vengeance",15421226
71,70000000,Once upon a time in Nazi occupied France...,321457747
